Date,TotalCases,TotalDeaths,GlobalDeathRate
2020-10-12,291766,3983,1.3700
2020-10-13,319259,5286,1.6600
2020-10-14,382334,6073,1.5900
2020-10-15,406984,6115,1.5000
2020-10-16,411771,6185,1.5000
2020-10-17,372657,5597,1.5000
2020-10-18,316563,3542,1.1200
2020-10-19,387210,4836,1.2500
2020-10-20,389002,6553,1.6800
2020-10-21,444890,6630,1.4900
2020-10-22,472719,5936,1.2600
2020-10-23,496798,6971,1.4000
2020-10-24,456784,5817,1.2700
2020-10-25,360653,4211,1.1700
2020-10-26,486411,5517,1.1300
2020-10-27,470233,7372,1.5700
2020-10-28,511872,7160,1.4000
2020-10-29,550415,7086,1.2900
2020-10-30,571055,7599,1.3300
2020-10-31,476765,6578,1.3800
2020-11-01,462384,5010,1.0800
2020-11-02,563127,6103,1.0800
2020-11-03,553745,9345,1.6900
2020-11-04,511552,10251,2.0000
2020-11-05,596558,8013,1.3400
2020-11-06,644854,9661,1.5000
2020-11-07,596892,7600,1.2700
2020-11-08,483974,5874,1.2100
2020-11-09,501532,7223,1.4400
2020-11-10,559377,9993,1.7900
2020-11-11,648606,10451,1.6100
2020-11-12,649543,9766,1.5000
2020-11-13,652073,9588,1.4700
2020-11-14,594970,9082,1.5300
2020-11-15,473941,6424,1.3600
2020-11-16,534457,7954,1.4900
2020-11-17,611220,11071,1.8100
2020-11-18,627103,11413,1.8200
2020-11-19,653585,11032,1.6900
2020-11-20,668744,11887,1.7800
2020-11-21,587564,8972,1.5300
2020-11-22,487981,7194,1.4700
2020-11-23,525319,8526,1.6200
2020-11-24,590261,12660,2.1400
2020-11-25,636224,12131,1.9100
2020-11-26,582475,10888,1.8700
2020-11-27,687148,11387,1.6600
2020-11-28,586031,9282,1.5800
2020-11-29,488583,7160,1.4700
2020-11-30,508641,8880,1.7500
2020-12-01,612097,12684,2.0700
2020-12-02,651398,12586,1.9300
2020-12-03,694328,12572,1.8100
2020-12-04,683276,12520,1.8300
2020-12-05,642163,10288,1.6000
2020-12-06,538754,7428,1.3800
2020-12-07,520019,8713,1.6800
2020-12-08,643528,12278,1.9100
2020-12-09,669911,12719,1.9000
2020-12-10,674988,12476,1.8500
2020-12-11,704497,13027,1.8500
2020-12-12,634850,10542,1.6600
2020-12-13,530838,7457,1.4000
2020-12-14,525387,9170,1.7500
2020-12-15,636206,13951,2.1900
2020-12-16,733726,13659,1.8600
2020-12-17,739582,13448,1.8200
2020-12-18,720462,12787,1.7700
2020-12-19,611253,10769,1.7600
2020-12-20,533473,7914,1.4800
2020-12-21,549297,9643,1.7600
2020-12-22,650261,14313,2.2000
2020-12-23,695122,13806,1.9900
2020-12-24,666640,11629,1.7400
2020-12-25,465550,8599,1.8500
2020-12-26,512602,7398,1.4400
2020-12-27,438453,7399,1.6900
2020-12-28,496323,9755,1.9700
2020-12-29,664428,15164,2.2800
2020-12-30,761230,15260,2.0000
2020-12-31,725009,13169,1.8200
2021-01-01,533018,9662,1.8100
2021-01-02,626359,8432,1.3500
2021-01-03,532796,7341,1.3800
2021-01-04,554118,10147,1.8300
2021-01-05,740122,15334,2.0700
2021-01-06,783372,15052,1.9200
2021-01-07,880837,14937,1.7000
2021-01-08,803222,15165,1.8900
2021-01-09,760994,12784,1.6800
2021-01-10,589134,8347,1.4200
2021-01-11,619930,10323,1.6700
2021-01-12,705508,17103,2.4200
2021-01-13,748388,16704,2.2300
2021-01-14,755228,15369,2.0400
2021-01-15,767187,15110,1.9700
2021-01-16,639144,13248,2.0700
2021-01-17,529212,8662,1.6400
2021-01-18,515066,9426,1.8300
2021-01-19,608426,16582,2.7300
2021-01-20,692937,17906,2.5800
2021-01-21,656323,16788,2.5600
2021-01-22,659061,16019,2.4300
2021-01-23,568124,13294,2.3400
2021-01-24,445654,8968,2.0100
2021-01-25,497340,10764,2.1600
2021-01-26,556238,17307,3.1100
2021-01-27,598361,16679,2.7900
2021-01-28,614251,17049,2.7800
2021-01-29,590443,14946,2.5300
2021-01-30,515330,13586,2.6400
2021-01-31,381639,7987,2.0900
2021-02-01,446774,10218,2.2900
2021-02-02,457957,14835,3.2400
2021-02-03,521981,15727,3.0100
2021-02-04,466907,12533,2.6800
2021-02-05,535428,16571,3.0900
2021-02-06,372125,10137,2.7200
2021-02-07,398078,7985,2.0100
2021-02-08,315893,8332,2.6400
2021-02-09,428033,15536,3.6300
2021-02-10,435741,13403,3.0800
2021-02-11,441465,13473,3.0500
2021-02-12,428689,12473,2.9100
2021-02-13,373301,9805,2.6300
2021-02-14,293850,6362,2.1700
2021-02-15,283166,6893,2.4300
2021-02-16,351020,10916,3.1100
2021-02-17,395555,11338,2.8700
2021-02-18,403516,11370,2.8200
2021-02-19,412519,11048,2.6800
2021-02-20,370455,8512,2.3000
2021-02-21,314446,5878,1.8700
2021-02-22,288438,6949,2.4100
2021-02-23,388853,11180,2.8800
2021-02-24,444936,12002,2.7000
2021-02-25,447478,10165,2.2700
2021-02-26,443039,10250,2.3100
2021-02-27,389230,8140,2.0900
2021-02-28,303509,5434,1.7900
2021-03-01,305864,7206,2.3600
2021-03-02,310288,10434,3.3600
2021-03-03,441142,11073,2.5100
2021-03-04,453049,9778,2.1600
2021-03-05,447054,10017,2.2400
2021-03-06,410533,7832,1.9100
2021-03-07,368312,5274,1.4300
2021-03-08,298723,6860,2.3000
2021-03-09,414665,9981,2.4100
2021-03-10,467079,9689,2.0700
2021-03-11,476896,9765,2.0500
2021-03-12,489328,9627,1.9700
2021-03-13,454116,7984,1.7600
2021-03-14,360385,5498,1.5300
2021-03-15,348901,6820,1.9500
2021-03-16,473013,9888,2.0900
2021-03-17,539285,10122,1.8800
2021-03-18,553723,10572,1.9100
2021-03-19,561679,10397,1.8500
2021-03-20,498820,8044,1.6100
2021-03-21,423315,5800,1.3700
2021-03-22,416821,7495,1.8000
2021-03-23,514245,11105,2.1600
2021-03-24,633581,9721,1.5300
2021-03-25,651350,11338,1.7400
2021-03-26,641351,12218,1.9100
2021-03-27,584592,9836,1.6800
2021-03-28,469958,6479,1.3800
2021-03-29,458405,7959,1.7400
2021-03-30,568273,11568,2.0400
2021-03-31,683205,12274,1.8000
2021-04-01,711787,11872,1.6700
2021-04-02,633739,10256,1.6200
2021-04-03,529443,8394,1.5900
2021-04-04,552803,6925,1.2500
2021-04-05,489584,7468,1.5300
2021-04-06,604087,11820,1.9600
2021-04-07,684346,14841,2.1700
2021-04-08,839850,14643,1.7400
2021-04-09,748045,13413,1.7900
2021-04-10,664507,12411,1.8700
2021-04-11,690741,8563,1.2400
2021-04-12,616625,9302,1.5100
2021-04-13,779567,13336,1.7100
2021-04-14,817025,13535,1.6600
2021-04-15,816761,13206,1.6200
2021-04-16,854855,12831,1.5000
2021-04-17,788042,12011,1.5200
2021-04-18,685495,8608,1.2600
2021-04-19,693422,10490,1.5100
2021-04-20,854425,14189,1.6600
2021-04-21,889975,14102,1.5800
2021-04-22,899755,13730,1.5300
2021-04-23,897839,14189,1.5800
2021-04-24,821237,13316,1.6200
2021-04-25,727967,9780,1.3400
2021-04-26,682784,11156,1.6300
2021-04-27,844470,14487,1.7200
2021-04-28,905992,15719,1.7400
2021-04-29,897602,14990,1.6700
2021-04-30,879014,14573,1.6600
